Country:e,Name:s,AccentCity:s,Region:e,Population:n,Latitude,Longitude,Test3:n,Prefecture:e,Record:n
jp,aikamachi,Aikamachi,36,,35.466667,132.95,35.466667,shimane,106
jp,aikawa,Aikawa,6,,36.083333,136.033333,36.083333,fukui,107
jp,aikawa,Aikawa,16,,38.966667,141.216667,38.966667,iwate,108
jp,aikawa,Aikawa,24,,38.6,141.5,38.6,miyagi,109
jp,aikawa,Aikawa,29,,38.033333,138.25,38.033333,niigata,110
jp,aimata,Aimata,10,,36.716667,138.9,36.716667,gunma,111
jp,aimi,Aimi,1,,35.033333,137.016667,35.033333,aichi,112
jp,aimoto,Aimoto,13,,34.966667,135.15,34.966667,hyogo,113
jp,aimoto,Aimoto,42,,36.85,137.55,36.85,toyama,114
jp,aimoto-shin,Aimoto-shin,42,,36.866667,137.55,36.866667,toyama,115
jp,aino,Aino,27,,32.816667,130.15,32.816667,nagasaki,116
jp,ainohama,Ainohama,4,,34.916667,139.816667,34.916667,chiba,117
jp,ainokama,Ainokama,24,,38.124722,140.933333,38.124722,miyagi,118
jp,ainonai,Ainonai,12,,43.791944,143.756111,43.791944,hokkaido,119
jp,ainono,Ainono,2,,39.266667,140.616667,39.266667,akita,120
jp,ainoura,Ainoura,27,,33.2,129.65,33.2,nagasaki,121
jp,ainouracho,Ainouracho,27,,33.2,129.65,33.2,nagasaki,122
jp,ainoura-machi,Ainoura-machi,27,,33.2,129.65,33.2,nagasaki,123
jp,ainuma,Ainuma,12,,42.083333,140.066667,42.083333,hokkaido,124
jp,ainumanai,Ainumanai,12,,42.083333,140.066667,42.083333,hokkaido,125
jp,aioi,Aioi,12,,43.583333,143.983333,43.583333,hokkaido,126
jp,aioi,Aioi,13,32394,34.803611,134.468056,34.803611,hyogo,127
jp,aioicho,Aioicho,27,,33.166667,129.716667,33.166667,nagasaki,128
jp,aioicho,Aioicho,37,,35.016667,138.483333,35.016667,shizuoka,129
jp,aioimachi,Aioimachi,37,,35.016667,138.483333,35.016667,shizuoka,130
jp,aioi-shi,Aioi-shi,13,,34.803611,134.468056,34.803611,hyogo,131
jp,aioura,Aioura,45,,34,131.433333,34,yamaguchi,132
jp,airakuen,Airakuen,47,,26.672778,128.018333,26.672778,okinawa,133
jp,aire,Aire,27,,32.666667,130.3,32.666667,nagasaki,134
jp,aisai,Aisai,1,,35.163495,136.732218,35.163495,aichi,135
jp,aisari,Aisari,16,,39.25,141.116667,39.25,iwate,136
jp,aisaricho,Aisaricho,16,,39.25,141.116667,39.25,iwate,137
jp,aisarimachi,Aisarimachi,16,,39.25,141.116667,39.25,iwate,138
jp,aisarimatsu,Aisarimatsu,16,,39.25,141.116667,39.25,iwate,139
jp,aishima,Aishima,45,,34.5,131.283333,34.5,yamaguchi,140
jp,aita,Aita,26,,36.35,138,36.35,nagano,141
jp,aitomari,Aitomari,3,,41.5,139.366667,41.5,aomori,142
jp,aitomari,Aitomari,12,,44.183333,145.333333,44.183333,hokkaido,143
jp,aitsu,Aitsu,21,,32.5,130.433333,32.5,kumamoto,144
jp,aiuchi,Aiuchi,3,,41.05,140.366667,41.05,aomori,145
jp,aiura,Aiura,27,,33.2,129.65,33.2,nagasaki,146
jp,aizan,Aizan,12,,43.85,142.7,43.85,hokkaido,147
jp,aizu,Aizu,8,,37.55,139.983333,37.55,fukushima,148
jp,aizu,Aizu,21,,32.5,130.433333,32.5,kumamoto,149
jp,aizu-wakamatsu,Aizu-Wakamatsu,8,,37.491417,139.945456,37.491417,fukushima,150
jp,aja,Aja,47,,26.237675,127.691361,26.237675,okinawa,151
jp,aji,Aji,17,,34.383333,134.133333,34.383333,kagawa,152
jp,aji,Aji,24,,38.266667,141.466667,38.266667,miyagi,153
jp,ajigasawa,Ajigasawa,3,,40.774444,140.203056,40.774444,aomori,154
jp,ajihama,Ajihama,24,,38.266667,141.466667,38.266667,miyagi,155
jp,ajiki,Ajiki,4,,35.833333,140.233333,35.833333,chiba,156
jp,ajima,Ajima,8,,37.2,139.766667,37.2,fukushima,157
jp,ajima,Ajima,26,,35.516667,137.883333,35.516667,nagano,158
jp,ajimine,Ajimine,47,,26.2,127.65,26.2,okinawa,159
jp,ajinnine,Ajinnine,47,,26.2,127.65,26.2,okinawa,160
jp,ajino,Ajino,31,,34.466667,133.8,34.466667,okayama,161
jp,ajiro,Ajiro,5,,33.032972,132.404045,33.032972,ehime,162
jp,ajiro,Ajiro,27,,34.65,129.466667,34.65,nagasaki,163
jp,ajiro,Ajiro,37,,35.05,139.083333,35.05,shizuoka,164
jp,ajiro,Ajiro,41,,35.583333,134.3,35.583333,tottori,165
jp,ajirohama,Ajirohama,29,,38.005,139.253333,38.005,niigata,166
jp,ajisu,Ajisu,45,,34.003333,131.354444,34.003333,yamaguchi,167
jp,aka,Aka,11,,34.233333,132.6,34.233333,hiroshima,168
jp,aka,Aka,47,,26.188056,127.273889,26.188056,okinawa,169
jp,akabane,Akabane,1,,34.616667,137.2,34.616667,aichi,170
jp,akabane,Akabane,16,,39.266667,141.6,39.266667,iwate,171
jp,akabane,Akabane,21,,32.816667,131.183333,32.816667,kumamoto,172
jp,akabane,Akabane,40,,35.766667,139.716667,35.766667,tokyo,173
jp,akabanemachi,Akabanemachi,40,,35.766667,139.716667,35.766667,tokyo,174
jp,akabane-nishiku,Akabane-nishiku,1,,34.6,137.183333,34.6,aichi,175
jp,akabira,Akabira,12,14214,43.551389,142.053056,43.551389,hokkaido,176
jp,akadani,Akadani,25,,32.683333,131.2,32.683333,miyazaki,177
jp,akadomari,Akadomari,29,,37.866667,138.416667,37.866667,niigata,178
jp,akagami,Akagami,12,,41.466667,140.016667,41.466667,hokkaido,179
jp,akagawa,Akagawa,11,,34.816667,133.05,34.816667,hiroshima,180
jp,akagawa,Akagawa,12,,42.07,139.455,42.07,hokkaido,181
jp,akagina,Akagina,18,,28.45,129.683333,28.45,kagoshima,182
jp,akahane,Akahane,21,,32.816667,131.183333,32.816667,kumamoto,183
jp,akaho,Akaho,13,,34.75,134.4,34.75,hyogo,184
jp,akaho,Akaho,26,,35.733333,137.933333,35.733333,nagano,185
jp,akai,Akai,24,,38.447233,141.233549,38.447233,miyagi,186
jp,akai,Akai,34,,35.816667,139.75,35.816667,saitama,187
jp,akaigawa,Akaigawa,12,,43.083333,140.817222,43.083333,hokkaido,188
jp,akaike,Akaike,4,,35.8,140.45,35.8,chiba,189
jp,akaike,Akaike,7,,33.7,130.766667,33.7,fukuoka,190
jp,akaishi,Akaishi,3,,40.756111,140.168056,40.756111,aomori,191
jp,akaishi,Akaishi,12,,42.140278,139.52,42.140278,hokkaido,192
jp,akaishi,Akaishi,16,,39.366667,140.766667,39.366667,iwate,193
jp,akaishi,Akaishi,24,,38.209722,140.753056,38.209722,miyagi,194
jp,akaishi,Akaishi,26,,36.983333,138.516667,36.983333,nagano,195
jp,akaishicho,Akaishicho,39,,33.983333,134.616667,33.983333,tokushima,196
jp,akaishimachi,Akaishimachi,3,,40.75,140.166667,40.75,aomori,197
jp,akaisi,Akaisi,12,,42.140278,139.52,42.140278,hokkaido,198
jp,akaiwa,Akaiwa,12,,43.766667,141.366667,43.766667,hokkaido,199
jp,akaiwa,Akaiwa,34,,36.2,139.433333,36.2,saitama,200
jp,akakina,Akakina,18,,28.45,129.683333,28.45,kagoshima,201
jp,akakura,Akakura,29,,36.883333,138.183333,36.883333,niigata,202
jp,akakura,Akakura,38,,36.666667,139.45,36.666667,tochigi,203
jp,akakura,Akakura,44,,38.707222,140.551944,38.707222,yamagata,204
jp,akama,Akama,7,,33.8,130.583333,33.8,fukuoka,205
jp,akama,Akama,38,,36.266667,139.666667,36.266667,tochigi,206
jp,akamae,Akamae,16,,39.575,141.955,39.575,iwate,207
jp,akamasa,Akamasa,47,,26.335067,127.880708,26.335067,okinawa,208
jp,akamatsu,Akamatsu,26,,36.183333,137.8,36.183333,nagano,209
jp,akamatsu,Akamatsu,31,,35.133333,133.533333,35.133333,okayama,210
jp,akamatsu,Akamatsu,44,,38.673889,140.237778,38.673889,yamagata,211
jp,akamatsucho,Akamatsucho,33,,33.25,130.3,33.25,saga,212
jp,akamatsumachi,Akamatsumachi,33,,33.25,130.3,33.25,saga,213
jp,akamine,Akamine,47,,26.195572,127.661569,26.195572,okinawa,214
jp,akamizu,Akamizu,27,,32.933333,130.033333,32.933333,nagasaki,215
jp,akamuya,Akamuya,47,,26.335067,127.880708,26.335067,okinawa,216
jp,akana,Akana,36,,35,132.716667,35,shimane,217
jp,akanashi,Akanashi,26,,36.35,137.933333,36.35,nagano,218
jp,akane,Akane,30,,33.6,131.583333,33.6,oita,219
jp,akanehama,Akanehama,4,,35.655,140,35.655,chiba,220
jp,aka-niida,Aka-niida,24,,38.7,140.916667,38.7,miyagi,221
jp,aka-niita,Aka-niita,24,,38.7,140.916667,38.7,miyagi,222
jp,aka-nitta,Aka-nitta,24,,38.7,140.916667,38.7,miyagi,223
jp,akankohan,Akankohan,12,,43.425,144.101389,43.425,hokkaido,224
jp,akano,Akano,39,,33.883333,133.766667,33.883333,tokushima,225
jp,akanuma,Akanuma,8,,37.366667,140.433333,37.366667,fukushima,226
jp,akanuma,Akanuma,24,,38.357305,141.034873,38.357305,miyagi,227
jp,akao,Akao,27,,33,129.166667,33,nagasaki,228
jp,akaogi,Akaogi,18,,28.416667,129.633333,28.416667,kagoshima,229
jp,akaoka,Akaoka,20,,33.533333,133.716667,33.533333,kochi,230
jp,akaoki,Akaoki,18,,28.416667,129.633333,28.416667,kagoshima,231
jp,akare,Akare,18,,28.316667,129.933333,28.316667,kagoshima,232
jp,akaren,Akaren,18,,28.316667,129.933333,28.316667,kagoshima,233
jp,akasa,Akasa,18,,27.05,128.416667,27.05,kagoshima,234
jp,akasaka,Akasaka,1,,34.85,137.3,34.85,aichi,235
jp,akasaka,Akasaka,9,,35.383333,136.583333,35.383333,gifu,236
jp,akasaka,Akasaka,13,,34.716667,134.95,34.716667,hyogo,237
jp,akasaka,Akasaka,24,,38.288611,140.742222,38.288611,miyagi,238
jp,akasaka,Akasaka,40,,35.666667,139.716667,35.666667,tokyo,239
jp,akasaka,Akasaka,41,,35.516667,133.583333,35.516667,tottori,240
jp,akasaka,Akasaka,44,,38.838056,140.325278,38.838056,yamagata,241
jp,akasaka-aoyama-minamicho,Akasaka-Aoyama-minamicho,40,,35.65,139.716667,35.65,tokyo,242
jp,akasaka-cho,Akasaka-cho,9,,35.383333,136.583333,35.383333,gifu,243
jp,akasakacho,Akasakacho,9,,35.383333,136.583333,35.383333,gifu,244
jp,akasakada,Akasakada,16,,40.05,141,40.05,iwate,245
jp,akasaka-nagano,Akasaka-nagano,8,,37.05,140.516667,37.05,fukushima,246
jp,akasaka-nakano,Akasaka-nakano,8,,37.033333,140.5,37.033333,fukushima,247
jp,akasakata,Akasakata,16,,40.05,141,40.05,iwate,248
jp,akasaki,Akasaki,6,,35.687778,136.086667,35.687778,fukui,249
jp,akasaki,Akasaki,11,,34.316667,132.3,34.316667,hiroshima,250
jp,akasaki,Akasaki,15,,37.166667,136.683333,37.166667,ishikawa,251
jp,akasaki,Akasaki,16,,39.055,141.766667,39.055,iwate,252
jp,akasaki,Akasaki,21,,32.85,130.583333,32.85,kumamoto,253
jp,akasaki,Akasaki,41,,35.516667,133.633333,35.516667,tottori,254
jp,akashi,Akashi,11,,34.208333,132.878333,34.208333,hiroshima,255
jp,akashi,Akashi,13,297281,34.633333,134.983333,34.633333,hyogo,256
jp,akashi,Akashi,26,,36.983333,138.516667,36.983333,nagano,257
jp,akashicho,Akashicho,40,,35.666667,139.783333,35.666667,tokyo,258
jp,akashiki,Akashiki,47,,26.1925,127.358611,26.1925,okinawa,259
jp,akashina,Akashina,26,,36.35,137.933333,36.35,nagano,260
jp,akashinden,Akashinden,24,,38.7,140.916667,38.7,miyagi,261
jp,akasi,Akasi,13,,34.633333,134.983333,34.633333,hyogo,262
jp,akaska,Akaska,24,,38.288611,140.742222,38.288611,miyagi,263
jp,akasumi,Akasumi,15,,37.05,136.733333,37.05,ishikawa,264
jp,akatani,Akatani,25,,32.683333,131.2,32.683333,miyazaki,265
jp,akatsuka,Akatsuka,29,,37.816667,138.883333,37.816667,niigata,266
jp,akatsuka,Akatsuka,36,,35.05,132.6,35.05,shimane,267
jp,akautsu,Akautsu,24,,38.583333,141.233333,38.583333,miyagi,268
jp,akawa,Akawa,45,,34.333333,130.933333,34.333333,yamaguchi,269
jp,akayu,Akayu,44,,38.053611,140.188056,38.053611,yamagata,270
jp,akazaka,Akazaka,41,,35.516667,133.583333,35.516667,tottori,271
jp,akazaki,Akazaki,41,,35.516667,133.633333,35.516667,tottori,272
jp,akazuka,Akazuka,36,,35.05,132.6,35.05,shimane,273
jp,akechi,Akechi,9,,35.3,137.383333,35.3,gifu,274
jp,akeda,Akeda,47,,26.334444,127.806111,26.334444,okinawa,275
jp,akedo,Akedo,16,,40.3,141.633333,40.3,iwate,276
jp,akedo,Akedo,34,,36.216667,139.3,36.216667,saitama,277
jp,akeharu,Akeharu,5,,33.233333,132.7,33.233333,ehime,278
jp,akena,Akena,47,,26.370556,127.851111,26.370556,okinawa,279
jp,akeno,Akeno,23,,34.516667,136.666667,34.516667,mie,280
jp,akenobe,Akenobe,13,,35.266667,134.666667,35.266667,hyogo,281
jp,akeshina,Akeshina,26,,36.35,137.933333,36.35,nagano,282
jp,aketo,Aketo,16,,40.3,141.633333,40.3,iwate,283
jp,aketo,Aketo,34,,36.216667,139.3,36.216667,saitama,284
jp,akezuka,Akezuka,36,,35.05,132.6,35.05,shimane,285
jp,akiajiba,Akiajiba,12,,43.433333,145.933333,43.433333,hokkaido,286
jp,aki,Aki,20,20118,33.5,133.9,33.5,kochi,287
jp,akibetsu,Akibetsu,12,,43.266667,144.1,43.266667,hokkaido,288
jp,akifu,Akifu,6,,35.833333,136.566667,35.833333,fukui,289
jp,akii,Akii,20,,33.5,133.9,33.5,kochi,290
jp,akime,Akime,18,,31.35,130.2,31.35,kagoshima,291
jp,akimoto,Akimoto,8,,37.65,140.116667,37.65,fukushima,292
jp,akina,Akina,18,,28.166667,129.333333,28.166667,kagoshima,293
jp,akinari,Akinari,29,,36.983333,138.666667,36.983333,niigata,294
jp,akinokami,Akinokami,39,,34.2,134.583333,34.2,tokushima,295
jp,akinome,Akinome,18,,31.35,130.2,31.35,kagoshima,296
jp,akiruno,Akiruno,40,82022,35.749435,139.248346,35.749435,tokyo,297
jp,akisato,Akisato,13,,34.95,134.316667,34.95,hyogo,298
jp,akishima,Akishima,40,107926,35.720848,139.379991,35.720848,tokyo,299
jp,akita,Akita,2,320071,39.716667,140.116667,39.716667,akita,300
jp,akita,Akita,12,,43.533333,144.016667,43.533333,hokkaido,301
jp,akita-dantai,Akita-dantai,12,,43.533333,144.016667,43.533333,hokkaido,302
jp,akita-shi,Akita-shi,2,,39.718056,140.103334,39.718056,akita,303
jp,akitsu,Akitsu,11,,34.316667,132.821667,34.316667,hiroshima,304
jp,akiyoshi,Akiyoshi,45,,34.216667,131.283333,34.216667,yamaguchi,305
jp,akizuki,Akizuki,7,,33.466667,130.683333,33.466667,fukuoka,306
jp,akizuki,Akizuki,11,,34.233333,132.483333,34.233333,hiroshima,307
jp,akizuki,Akizuki,39,,34.1,134.316667,34.1,tokushima,308
jp,akizuki,Akizuki,43,,34.216667,135.2,34.216667,wakayama,309
jp,akizukimachi,Akizukimachi,7,,33.466667,130.683333,33.466667,fukuoka,310
jp,akkeshi,Akkeshi,12,,43.035556,144.8525,43.035556,hokkaido,311
jp,akkesi,Akkesi,12,,43.035556,144.8525,43.035556,hokkaido,312
jp,ako,Ako,9,,35.55,137.25,35.55,gifu,313
jp,ako,Ako,13,52016,34.75,134.4,34.75,hyogo,314
jp,ako,Ako,40,,34.083333,139.483333,34.083333,tokyo,315
jp,akoma,Akoma,19,,35.608611,139.205278,35.608611,kanagawa,316
jp,akotsu,Akotsu,24,,38.583333,141.233333,38.583333,miyagi,317
jp,akozu,Akozu,24,,38.583333,141.233333,38.583333,miyagi,318
jp,akubetsu,Akubetsu,12,,43.266667,144.1,43.266667,hokkaido,319
jp,akuchi,Akuchi,31,,35.016667,133.633333,35.016667,okayama,320
jp,akudo,Akudo,24,,38.495266,141.113793,38.495266,miyagi,321
jp,akunoura,Akunoura,27,,32.733333,129.85,32.733333,nagasaki,322
jp,akunouramachi,Akunouramachi,27,,32.733333,129.85,32.733333,nagasaki,323
jp,akura,Akura,20,,33.516667,134.166667,33.516667,kochi,324
jp,akutami,Akutami,9,,35.45,136.833333,35.45,gifu,325
jp,akuto,Akuto,16,,40.3,141.633333,40.3,iwate,326
jp,akutsu,Akutsu,10,,36.5,139,36.5,gunma,327
jp,ama,Ama,13,,34.2,134.733333,34.2,hyogo,328
jp,ama,Ama,36,,36.1,133.116667,36.1,shimane,329
jp,ama,Ama,47,,26.223056,127.289167,26.223056,okinawa,330
jp,amaariki,Amaariki,4,,35.466667,140.133333,35.466667,chiba,331
jp,amadareishi,Amadareishi,12,,41.483333,140.016667,41.483333,hokkaido,332
jp,amafune,Amafune,13,,35.033333,134.883333,35.033333,hyogo,333
jp,amagasaki,Amagasaki,13,442176,34.716667,135.416667,34.716667,hyogo,334
jp,amagase,Amagase,28,,34.2,135.983333,34.2,nara,335
jp,amagase,Amagase,30,,33.25,131.033333,33.25,oita,336
jp,amagi,Amagi,7,42312,33.416667,130.65,33.416667,fukuoka,337
jp,amagoya,Amagoya,15,,37.852461,136.922469,37.852461,ishikawa,338
jp,amahitai,Amahitai,16,,39.833333,141.766667,39.833333,iwate,339
jp,amaji,Amaji,20,,32.8,132.65,32.8,kochi,340
jp,amaki,Amaki,7,,33.416667,130.65,33.416667,fukuoka,341
jp,amamui,Amamui,30,,33.033333,131.916667,33.033333,oita,342
jp,amanogo,Amanogo,45,,33.95,130.916667,33.95,yamaguchi,343
jp,amanogocho,Amanogocho,45,,33.95,130.916667,33.95,yamaguchi,344
jp,amanome,Amanome,24,,38.116667,140.9,38.116667,miyagi,345
jp,amarube,Amarube,13,,35.65,134.55,35.65,hyogo,346
jp,amarume,Amarume,44,,38.838333,139.883333,38.838333,yamagata,347
jp,amase,Amase,29,,37.533333,138.666667,37.533333,niigata,348
jp,amasoko,Amasoko,47,,26.671111,127.985556,26.671111,okinawa,349
jp,amatsu,Amatsu,4,,35.116667,140.166667,35.116667,chiba,350
jp,amatu,Amatu,4,,35.116667,140.166667,35.116667,chiba,351
jp,amau,Amau,9,,36.266667,137.016667,36.266667,gifu,352
jp,amaya,Amaya,8,,37.566667,139.75,37.566667,fukushima,353
jp,amazaki,Amazaki,5,,34.240278,133.05,34.240278,ehime,354
jp,amaze,Amaze,29,,37.533333,138.666667,37.533333,niigata,355
jp,amazi,Amazi,20,,32.8,132.65,32.8,kochi,356
jp,ambo,Ambo,18,,30.316667,130.65,30.316667,kagoshima,357
jp,ameku,Ameku,47,,26.234722,127.676389,26.234722,okinawa,358
jp,amesoko,Amesoko,47,,26.671111,127.985556,26.671111,okinawa,359
jp,amesoku,Amesoku,47,,26.671111,127.985556,26.671111,okinawa,360
jp,ami,Ami,14,48257,36.033333,140.2,36.033333,ibaraki,361
jp,amidaji,Amidaji,43,,33.65,135.9,33.65,wakayama,362
jp,amihama,Amihama,31,,34.633333,133.933333,34.633333,okayama,363
jp,amike,Amike,47,,26.234722,127.676389,26.234722,okinawa,364
jp,amikiyaba,Amikiyaba,18,,28.466667,129.616667,28.466667,kagoshima,365
jp,amikoyaba,Amikoyaba,18,,28.466667,129.616667,28.466667,kagoshima,366
jp,amiku,Amiku,47,,26.234722,127.676389,26.234722,okinawa,367
jp,amino,Amino,22,,35.683333,135.033333,35.683333,kyoto,368
jp,aminohama,Aminohama,31,,34.633333,133.933333,34.633333,okayama,369
jp,aminoko,Aminoko,18,,28.166667,129.366667,28.166667,kagoshima,370
jp,amishiro,Amishiro,37,,35.05,139.083333,35.05,shizuoka,371
